;;nasi;nasi;nasi;nasi;nasi;story01_01;星粒が降る夜;;
;;nasi;nasi;nasi;nasi;nasi;story01_02;;;
;;nasi;nasi;nasi;nasi;nasi;story01_03;;;
;;nasi;nasi;nasi;nasi;nasi;story01_04;;;
;;nasi;nasi;nasi;nasi;nasi;story01_05;;;
彩;高齢者に多い病気なんだって!、<br>おっさんみたいだよな笑;nasi;nasi;nasi;nasi;nasi;sai_1;;;
;信じられない...彩の余命が２ヵ月なんて...;nasi;nasi;nasi;nasi;nasi;sai_1;;;
;なんでこんな時まで和まそうとしてるの...;nasi;nasi;nasi;nasi;nasi;sai_1;;;
弥生;なにかの冗談でしょ？;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;発見が遅かったみたいで...死亡率が高いんだって...;nasi;nasi;nasi;nasi;nasi;sai_1;;;
千遥;そんな....;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;悪いな重い話になっちゃって;nasi;nasi;nasi;nasi;nasi;sai_1;;;
楓;うん、大丈夫。話してくれてありがとう。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;きっと良くなるよ！奇跡ってのは存在するんだよ！;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;あぁ、ありがとう...来てくれてありがとうな;nasi;nasi;nasi;nasi;nasi;sai_1;;;
千遥;うんっまた来るね;nasi;nasi;nasi;nasi;nasi;sai_1;;;
弥生;彩...;nasi;nasi;nasi;nasi;nasi;sai_1;;;
;病院を出た後、私たちは神社に足を運んでいた;nasi;nasi;nasi;nasi;nasi;zinzya;;;
;奇跡が起きるように神頼み;nasi;nasi;nasi;nasi;nasi;zinzya;見えない光;;
;雪乃の提案だった;nasi;nasi;nasi;nasi;nasi;zinzya;;;
;神頼みだなんて...<br>あまり気持ちは乗らなかったが<br>私もついてきた;nasi;nasi;nasi;nasi;nasi;zinzya;;;
雪乃;よし！<br>これで奇跡が起きて彩も助かるよ！;yayoi_off;kaede_off;nasi;yukino;tiharu_off;zinzya;;;
楓;奇跡...起きるといいね...;nasi;nasi;nasi;nasi;nasi;zinzya;;;
弥生;神頼みで治るとか甘い考えだね;yayoi;kaede_off;nasi;yukino_off;tiharu_off;zinzya;;;
千遥;そんなことないよっ<br>信じることが大事なのっ;nasi;nasi;nasi;nasi;nasi;zinzya;;;
弥生;彩も言ってたでしょ！<br>敗血症は死亡率が高いんだよ!;yayoi;kaede_off;nasi;yukino_off;tiharu_off;zinzya;;;
;なんで怒ってるんだ私、バカだな...<br>辛いのは彩なのに...<br>私だって助けたいよ...;nasi;nasi;nasi;nasi;nasi;zinzya;;;
;もっとたくさん話したかった...一緒にいたかった...;nasi;nasi;nasi;nasi;nasi;zinzya;;;
;どうしたらいいの...助からないの？...;nasi;nasi;nasi;nasi;nasi;zinzya;;;
;突然、私たちの視界は白く染まった。;nasi;nasi;nasi;nasi;nasi;siro_1;;teardrop1;
;神様...？？;nasi;nasi;nasi;nasi;nasi;siro_1;;;
;そんな...神なんているわけ...;nasi;nasi;nasi;nasi;nasi;siro_1;;;
;私達は気を失っていた;nasi;nasi;nasi;nasi;nasi;siro_1;;;
;気づいたときには<br>周りは見知らぬ景色だった;nasi;nasi;nasi;nasi;nasi;siro_1;;;
雪乃;え？何？？どこ？ここ！;yukino;kaede_off;yayoi_off;tiharu_off;nasi;siro_2;;;
;おかしい...<br>色が..無い;nasi;nasi;nasi;nasi;nasi;siro_2;;;
楓;色がないよ？みんな白黒になってる..;yukino_off;kaede;yayoi_off;tiharu_off;nasi;siro_2;;;
千遥;大丈夫？;yukino_off;kaede_off;yayoi_off;tiharu;nasi;siro_2;;;
弥生;みんないるよ<br>ここはなんなの？;yukino_off;kaede_off;yayoi;tiharu_off;nasi;siro_2;;;
???;ここは、彩さんが作り出した世界...;nasi;nasi;nasi;nasi;nasi;sipses_cg_1;;tirin1;
;物音も立てることなく少女は私たちの前に現れた;nasi;nasi;sipses;nasi;nasi;siro_2;;;
;見た目は私より年下、背も130cm前後だろうか;nasi;nasi;sipses;nasi;nasi;siro_2;;;
;ただ、私たちとは何かが違う-そんな気がした;nasi;nasi;sipses;nasi;nasi;siro_2;;;
雪乃;神様！？ねぇ神様でしょ！？;yukino2;kaede_off;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;シプセス....;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
弥生;ちょっと雪乃黙って！;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;siro_2;;;
シプセス;わたしは...シプセス....;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
弥生;シプセス..<br>彩の作りだした世界ってどういうこと？;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;siro_2;;;
弥生;私達はどうなったの？;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;siro_2;;;
シプセス;彼は...彩はもう助からない...;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;禁じられた御話し;;
